model_id,model_name,business_domain,use_case,criticality_tier,regulatory_scope,created_date,decommissioned_date
M0001,Compliance_Pricing_Model_0001,Compliance,Pricing,Medium,CCAR,2023-10-28,
M0002,Compliance_Collections_Model_0002,Compliance,Collections,High,Basel,2016-10-02,
M0003,Fraud_Collections_Model_0003,Fraud,Collections,Low,Internal,2017-11-14,
M0004,Fraud_Collections_Model_0004,Fraud,Collections,Low,CCAR,2018-09-12,
M0005,Treasury_Liquidity_Stress_Model_0005,Treasury,Liquidity_Stress,Medium,Basel,2020-03-17,
M0006,Servicing_Collections_Model_0006,Servicing,Collections,Low,CCAR,2023-09-02,
M0007,Fraud_LGD_Estimation_Model_0007,Fraud,LGD_Estimation,High,Internal,2023-08-19,
M0008,Servicing_AML_Scoring_Model_0008,Servicing,AML_Scoring,Low,Internal,2024-07-27,
M0009,Risk_LGD_Estimation_Model_0009,Risk,LGD_Estimation,Medium,Internal,2016-04-24,
M0010,Servicing_Liquidity_Stress_Model_0010,Servicing,Liquidity_Stress,Medium,Internal,2018-12-15,
M0011,Risk_LGD_Estimation_Model_0011,Risk,LGD_Estimation,Medium,Internal,2022-04-25,
M0012,Compliance_Pricing_Model_0012,Compliance,Pricing,Medium,Internal,2018-05-03,
M0013,Compliance_Liquidity_Stress_Model_0013,Compliance,Liquidity_Stress,Medium,Basel,2020-05-22,
M0014,Compliance_Liquidity_Stress_Model_0014,Compliance,Liquidity_Stress,Low,Internal,2017-07-22,
M0015,Servicing_LGD_Estimation_Model_0015,Servicing,LGD_Estimation,Medium,Internal,2018-09-20,
M0016,Compliance_Prepayment_Model_0016,Compliance,Prepayment,Medium,Internal,2021-12-30,
M0017,Servicing_Collections_Model_0017,Servicing,Collections,Low,CCAR,2022-07-05,
M0018,CapitalMarkets_Prepayment_Model_0018,CapitalMarkets,Prepayment,High,CCAR,2020-06-06,
M0019,Servicing_LGD_Estimation_Model_0019,Servicing,LGD_Estimation,Medium,Internal,2017-07-03,
M0020,Fraud_Liquidity_Stress_Model_0020,Fraud,Liquidity_Stress,Medium,Internal,2016-12-21,
M0021,Risk_AML_Scoring_Model_0021,Risk,AML_Scoring,Low,Internal,2017-03-08,
M0022,Treasury_Collections_Model_0022,Treasury,Collections,Low,CCAR,2017-09-30,
M0023,Compliance_Liquidity_Stress_Model_0023,Compliance,Liquidity_Stress,Medium,Basel,2022-08-22,
M0024,Risk_Liquidity_Stress_Model_0024,Risk,Liquidity_Stress,Medium,Internal,2020-03-26,
M0025,Fraud_Liquidity_Stress_Model_0025,Fraud,Liquidity_Stress,Medium,Internal,2021-11-20,
M0026,Servicing_Prepayment_Model_0026,Servicing,Prepayment,High,Basel,2016-01-31,
M0027,Compliance_Collections_Model_0027,Compliance,Collections,High,CCAR,2017-03-28,
M0028,Compliance_Prepayment_Model_0028,Compliance,Prepayment,Medium,CCAR,2024-05-16,
M0029,Servicing_AML_Scoring_Model_0029,Servicing,AML_Scoring,Low,Internal,2023-02-21,
M0030,Servicing_PD_Estimation_Model_0030,Servicing,PD_Estimation,Low,Internal,2019-03-31,
M0031,CapitalMarkets_LGD_Estimation_Model_0031,CapitalMarkets,LGD_Estimation,Medium,Internal,2021-01-15,
M0032,Risk_Collections_Model_0032,Risk,Collections,High,Internal,2024-01-09,
M0033,Servicing_Prepayment_Model_0033,Servicing,Prepayment,Medium,Internal,2024-06-30,
M0034,Treasury_Prepayment_Model_0034,Treasury,Prepayment,Low,CCAR,2017-02-22,
M0035,Compliance_Pricing_Model_0035,Compliance,Pricing,Low,CCAR,2023-02-13,
M0036,Fraud_Prepayment_Model_0036,Fraud,Prepayment,High,Internal,2018-03-08,
M0037,Treasury_Pricing_Model_0037,Treasury,Pricing,Low,CCAR,2024-07-03,
M0038,Treasury_Prepayment_Model_0038,Treasury,Prepayment,High,Basel,2024-09-07,
M0039,Fraud_PD_Estimation_Model_0039,Fraud,PD_Estimation,High,Internal,2022-09-02,
M0040,Servicing_Liquidity_Stress_Model_0040,Servicing,Liquidity_Stress,Medium,Internal,2016-03-03,
M0041,Risk_Pricing_Model_0041,Risk,Pricing,High,Basel,2019-05-27,
M0042,Treasury_PD_Estimation_Model_0042,Treasury,PD_Estimation,Medium,Internal,2018-08-27,
M0043,Fraud_PD_Estimation_Model_0043,Fraud,PD_Estimation,Medium,Internal,2016-11-29,
M0044,Compliance_Liquidity_Stress_Model_0044,Compliance,Liquidity_Stress,High,Basel,2016-09-23,
M0045,Fraud_AML_Scoring_Model_0045,Fraud,AML_Scoring,High,Internal,2017-05-13,
M0046,Treasury_Collections_Model_0046,Treasury,Collections,Low,Basel,2021-04-13,
M0047,Fraud_LGD_Estimation_Model_0047,Fraud,LGD_Estimation,High,Basel,2018-12-04,
M0048,Fraud_AML_Scoring_Model_0048,Fraud,AML_Scoring,High,Internal,2022-10-03,
M0049,CapitalMarkets_LGD_Estimation_Model_0049,CapitalMarkets,LGD_Estimation,Medium,Internal,2021-12-31,
M0050,Compliance_Collections_Model_0050,Compliance,Collections,Low,Internal,2018-03-17,
M0051,Compliance_Pricing_Model_0051,Compliance,Pricing,Low,Basel,2020-06-05,
M0052,Compliance_Collections_Model_0052,Compliance,Collections,Medium,Internal,2020-02-21,
M0053,CapitalMarkets_Prepayment_Model_0053,CapitalMarkets,Prepayment,High,Internal,2021-01-06,
M0054,Risk_LGD_Estimation_Model_0054,Risk,LGD_Estimation,Medium,Basel,2018-06-22,
M0055,Risk_Pricing_Model_0055,Risk,Pricing,Low,Internal,2016-03-10,
M0056,Fraud_Prepayment_Model_0056,Fraud,Prepayment,Medium,Internal,2018-07-14,
M0057,Fraud_LGD_Estimation_Model_0057,Fraud,LGD_Estimation,High,CCAR,2016-01-13,
M0058,Risk_Collections_Model_0058,Risk,Collections,Medium,CCAR,2023-01-11,
M0059,Risk_LGD_Estimation_Model_0059,Risk,LGD_Estimation,High,Internal,2016-09-16,
M0060,Risk_AML_Scoring_Model_0060,Risk,AML_Scoring,High,Internal,2019-08-29,
M0061,Risk_Prepayment_Model_0061,Risk,Prepayment,High,CCAR,2018-08-15,
M0062,Servicing_Collections_Model_0062,Servicing,Collections,Medium,Internal,2021-05-25,
M0063,Treasury_Prepayment_Model_0063,Treasury,Prepayment,Low,Internal,2017-06-08,
M0064,Compliance_Prepayment_Model_0064,Compliance,Prepayment,High,CCAR,2022-06-01,
M0065,CapitalMarkets_LGD_Estimation_Model_0065,CapitalMarkets,LGD_Estimation,Low,Internal,2024-10-01,
M0066,CapitalMarkets_AML_Scoring_Model_0066,CapitalMarkets,AML_Scoring,Medium,Internal,2020-07-08,
M0067,Treasury_PD_Estimation_Model_0067,Treasury,PD_Estimation,Low,Internal,2017-01-15,
M0068,Compliance_Liquidity_Stress_Model_0068,Compliance,Liquidity_Stress,High,Internal,2019-12-05,
M0069,CapitalMarkets_Liquidity_Stress_Model_0069,CapitalMarkets,Liquidity_Stress,Medium,Basel,2021-03-10,
M0070,Compliance_PD_Estimation_Model_0070,Compliance,PD_Estimation,Medium,CCAR,2023-07-04,
M0071,Compliance_Collections_Model_0071,Compliance,Collections,High,Internal,2017-01-21,
M0072,Risk_Liquidity_Stress_Model_0072,Risk,Liquidity_Stress,Medium,Internal,2024-02-13,
M0073,Servicing_AML_Scoring_Model_0073,Servicing,AML_Scoring,Medium,Internal,2017-03-06,
M0074,Treasury_LGD_Estimation_Model_0074,Treasury,LGD_Estimation,Medium,Internal,2018-02-01,
M0075,Fraud_Liquidity_Stress_Model_0075,Fraud,Liquidity_Stress,Low,Internal,2017-07-11,
M0076,CapitalMarkets_LGD_Estimation_Model_0076,CapitalMarkets,LGD_Estimation,High,Internal,2019-01-28,
M0077,CapitalMarkets_LGD_Estimation_Model_0077,CapitalMarkets,LGD_Estimation,Low,Internal,2016-10-18,
M0078,CapitalMarkets_AML_Scoring_Model_0078,CapitalMarkets,AML_Scoring,High,Internal,2022-02-15,
M0079,Risk_PD_Estimation_Model_0079,Risk,PD_Estimation,Medium,Basel,2023-04-08,
M0080,Fraud_AML_Scoring_Model_0080,Fraud,AML_Scoring,Low,Basel,2016-02-13,
M0081,Risk_AML_Scoring_Model_0081,Risk,AML_Scoring,Medium,Basel,2018-08-09,
M0082,Treasury_Liquidity_Stress_Model_0082,Treasury,Liquidity_Stress,Medium,Internal,2021-05-26,
M0083,CapitalMarkets_LGD_Estimation_Model_0083,CapitalMarkets,LGD_Estimation,Low,CCAR,2020-06-13,
M0084,Risk_LGD_Estimation_Model_0084,Risk,LGD_Estimation,Medium,Internal,2020-03-15,
M0085,Risk_Liquidity_Stress_Model_0085,Risk,Liquidity_Stress,Low,Basel,2018-12-05,
M0086,CapitalMarkets_Pricing_Model_0086,CapitalMarkets,Pricing,Medium,Internal,2020-09-11,
M0087,Compliance_Collections_Model_0087,Compliance,Collections,Medium,Internal,2024-09-26,
M0088,Fraud_Collections_Model_0088,Fraud,Collections,Medium,Internal,2024-01-04,
M0089,CapitalMarkets_LGD_Estimation_Model_0089,CapitalMarkets,LGD_Estimation,Medium,Internal,2018-01-30,
M0090,Servicing_LGD_Estimation_Model_0090,Servicing,LGD_Estimation,High,Internal,2016-08-10,
M0091,Fraud_Collections_Model_0091,Fraud,Collections,Medium,Internal,2022-01-12,
M0092,Risk_Collections_Model_0092,Risk,Collections,High,CCAR,2019-06-21,
M0093,Risk_PD_Estimation_Model_0093,Risk,PD_Estimation,Medium,Basel,2022-07-03,
M0094,CapitalMarkets_Prepayment_Model_0094,CapitalMarkets,Prepayment,High,Basel,2021-11-28,
M0095,Treasury_PD_Estimation_Model_0095,Treasury,PD_Estimation,Medium,Internal,2021-08-25,
M0096,Risk_AML_Scoring_Model_0096,Risk,AML_Scoring,Low,CCAR,2018-01-14,
M0097,Risk_Prepayment_Model_0097,Risk,Prepayment,High,Basel,2016-09-18,
M0098,Compliance_AML_Scoring_Model_0098,Compliance,AML_Scoring,Medium,Internal,2018-08-04,
M0099,CapitalMarkets_PD_Estimation_Model_0099,CapitalMarkets,PD_Estimation,High,CCAR,2022-05-05,
M0100,Treasury_Prepayment_Model_0100,Treasury,Prepayment,High,Basel,2022-08-15,
M0101,Risk_Prepayment_Model_0101,Risk,Prepayment,Medium,Internal,2016-11-14,
M0102,CapitalMarkets_Collections_Model_0102,CapitalMarkets,Collections,Low,CCAR,2022-07-01,
M0103,Fraud_Prepayment_Model_0103,Fraud,Prepayment,Medium,Internal,2019-07-02,
M0104,Servicing_LGD_Estimation_Model_0104,Servicing,LGD_Estimation,Low,Basel,2023-06-19,
M0105,Compliance_Pricing_Model_0105,Compliance,Pricing,Low,Internal,2018-08-18,
M0106,Servicing_Liquidity_Stress_Model_0106,Servicing,Liquidity_Stress,Medium,Basel,2017-06-03,
M0107,Compliance_Collections_Model_0107,Compliance,Collections,Medium,Internal,2019-04-26,
M0108,CapitalMarkets_Pricing_Model_0108,CapitalMarkets,Pricing,High,Internal,2024-05-20,
M0109,Risk_PD_Estimation_Model_0109,Risk,PD_Estimation,Medium,Basel,2021-02-03,
M0110,Fraud_Prepayment_Model_0110,Fraud,Prepayment,Medium,CCAR,2017-01-27,
M0111,Risk_Prepayment_Model_0111,Risk,Prepayment,Medium,Basel,2018-05-06,
M0112,Fraud_Pricing_Model_0112,Fraud,Pricing,Low,Internal,2017-06-09,
M0113,Servicing_PD_Estimation_Model_0113,Servicing,PD_Estimation,Medium,Internal,2018-09-10,
M0114,Servicing_Pricing_Model_0114,Servicing,Pricing,High,Internal,2017-09-21,
M0115,CapitalMarkets_AML_Scoring_Model_0115,CapitalMarkets,AML_Scoring,High,Basel,2022-01-17,
M0116,Compliance_Pricing_Model_0116,Compliance,Pricing,High,Internal,2022-10-24,
M0117,Compliance_Prepayment_Model_0117,Compliance,Prepayment,Medium,Internal,2016-01-16,
M0118,Compliance_AML_Scoring_Model_0118,Compliance,AML_Scoring,Low,Basel,2022-03-04,
M0119,Servicing_Collections_Model_0119,Servicing,Collections,Medium,Internal,2017-02-11,
M0120,Treasury_Pricing_Model_0120,Treasury,Pricing,Medium,Internal,2017-03-31,
